   POS                   TYPE                       VALUE       
[59:11]    LexemeTypes.OPERATOR             Operators.LEFT_SHIFT
[59:15]    LexemeTypes.STRING               Constant-ID: 17     
[59:24]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[60:05]    LexemeTypes.IDENTIFIER           Identifier-ID: 27   
[60:15]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[60:16]    LexemeTypes.IDENTIFIER           Identifier-ID: 33   
[60:19]    LexemeTypes.DELIMITER            Delimiters.COMMA    
[60:21]    LexemeTypes.IDENTIFIER           Identifier-ID: 34   
[60:22]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[60:23]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[62:05]    LexemeTypes.IDENTIFIER           Identifier-ID: 2    
[62:14]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[62:15]    LexemeTypes.IDENTIFIER           Identifier-ID: 33   
[62:18]    LexemeTypes.DELIMITER            Delimiters.COMMA    
[62:20]    LexemeTypes.INT_NUM              Constant-ID: 1      
[62:21]    LexemeTypes.DELIMITER            Delimiters.COMMA    
[62:23]    LexemeTypes.IDENTIFIER           Identifier-ID: 34   
[62:26]    LexemeTypes.OPERATOR             Operators.MINUS     
[62:27]    LexemeTypes.INT_NUM              Constant-ID: 5      
[62:28]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[62:29]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[64:09]    LexemeTypes.KEY_WORD             KeyWords.COUT       
[64:11]    LexemeTypes.OPERATOR             Operators.LEFT_SHIFT
[64:16]    LexemeTypes.STRING               Constant-ID: 18     
[64:33]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[66:05]    LexemeTypes.IDENTIFIER           Identifier-ID: 27   
[66:15]    LexemeTypes.DELIMITER            Delimiters.OPEN_PARENTHESIS
[66:16]    LexemeTypes.IDENTIFIER           Identifier-ID: 33   
[66:19]    LexemeTypes.DELIMITER            Delimiters.COMMA    
[66:21]    LexemeTypes.IDENTIFIER           Identifier-ID: 34   
[66:22]    LexemeTypes.DELIMITER            Delimiters.CLOSE_PARENTHESIS
[66:23]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[68:11]    LexemeTypes.KEY_WORD             KeyWords.RETURN     
[68:12]    LexemeTypes.INT_NUM              Constant-ID: 1      
[68:13]    LexemeTypes.DELIMITER            Delimiters.SEMICOLON
[69:01]    LexemeTypes.DELIMITER            Delimiters.CLOSE_BRACES
